afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
1,1.42,19.64,35,7.48,30.56,12,130554.18,0.92,139.82,5,623,221,50,52.45,32.81,4,1,0,0,1,0,8,4,0.94,11,11.94,88,95.48,7253,116,4272.52
1,18.24,34.2,419,234.55,99.67,25,5454461.61,0.96,549.08,124,5865,2251,623,34.2,0,88,1,0,0,1,0,124,88,1.89,3.33,5.22,413,647.55,303026,644,54725.83
1,4.98,7.68,99,0.5,66.88,12,999346.08,0.92,223.42,3,2019,807,146,17.92,10.24,29,1,0,0,1,0,12,29,0.04,9.67,9.71,116,116.5,55519,169,14942.38
1,14.69,10.09,343,21.95,123.74,11,5452221.28,0.92,356.1,7,5275,1278,424,10.09,0,71,1,0,0,1,0,37,71,0.59,4.92,5.51,182,203.95,302901,327,44062.85
1,18.58,34.03,427,221.32,102.63,25,5719542.15,0.96,543.04,119,5999,2222,612,34.03,0,78,1,0,0,1,0,119,78,1.86,3.23,5.09,384,605.32,317752,626,55730.82
1,3.69,12.64,67,5.36,56,13,619712.75,0.93,197.61,3,1497,514,95,32.17,19.53,22,1,0,0,1,0,13,22,0.41,11.92,12.34,155,160.36,34428,168,11066.3
1,4.74,23.02,49,5.17,85.99,13,1222072.9,0.93,165.28,1,1893,996,156,39.51,16.49,15,1,0,0,1,0,10,15,0.52,16,16.52,160,165.17,67893,182,14212.26
1,7.28,16.66,93,6.78,66.38,23,1448967.66,0.96,328.8,4,2670,874,210,23.11,6.45,10,1,0,0,1,0,19,10,0.36,24.74,25.09,470,476.78,80498,289,21827.05
1,12.98,31.28,164,62.67,91.97,26,3582104.8,0.96,423.48,19,4473,1597,417,31.28,0,26,1,0,0,1,0,73,26,0.86,3.21,4.06,234,296.67,199006,418,38948.02
1,3.77,33.42,86,21.75,56.03,13,634475.5,0.93,202.14,24,1510,542,139,46.72,13.3,19,1,0,0,1,0,24,19,0.91,9.38,10.28,225,246.75,35249,181,11324.77
0,3.28,33.55,112,21.83,52.22,7,513075.24,1,188.18,5,1266,528,128,44.56,11.01,35,1,0,1,0,0,29,35,0.75,2.21,2.96,64,85.83,28504,217,9826.12
0,2.42,31.04,89,8.5,53.28,8,387213.51,1,136.39,3,1045,289,78,50.76,19.72,16,1,0,0,1,0,6,16,1.42,10,11.42,60,68.5,21512,124,7267.14
1,29.05,17.65,591,33.17,179.61,40,15650704.57,0.98,485.13,14,9614,2269,755,17.65,0,140,1,0,0,1,0,39,140,0.85,25.21,26.06,983,1016.17,869484,535,87135.48
1,15.48,32.53,375,54.89,130.76,19,6072867.78,0.95,355.17,12,5554,1598,406,32.53,0,84,1,0,1,0,0,45,84,1.22,8.73,9.95,393,447.89,337382,329,46442.24
1,8.25,13.9,150,7.22,94.63,17,2341095.27,0.94,261.44,5,3057,816,227,13.9,0,47,1,0,0,1,0,23,47,0.31,16.48,16.79,379,386.22,130061,273,24739.56
1,2.23,3.97,47,2.03,42.48,7,284629.87,0.88,157.74,2,944,380,66,31.17,27.2,10,1,0,0,1,0,10,10,0.2,8.1,8.3,81,83.03,15813,137,6700.54
1,10.84,6.59,177,8.82,80.18,26,2606709.47,0.96,405.45,7,3832,824,314,6.59,0,31,1,0,0,1,0,28,31,0.32,12.93,13.24,362,370.82,144817,358,32509.98
1,1.39,11.57,14,1,28.4,8,118615.55,0.89,147.09,4,626,308,41,49.15,37.58,2,1,0,0,1,0,6,2,0.17,5.33,5.5,32,33,6590,102,4176.94
0,3.32,13.47,77,15.25,64.45,9,641232.04,1,154.36,3,1380,355,107,30.85,17.38,18,1,0,0,1,0,15,18,1.02,8.73,9.75,131,146.25,35624,148,9949.05
1,1.88,27.19,7,4.5,26.13,15,147158.68,0.94,215.54,13,802,305,106,55.81,28.62,0,1,0,0,1,0,15,0,0.3,7.8,8.1,117,121.5,8175,130,5631.94
1,7.4,17.02,92,7.85,68.02,22,1510148.36,0.96,326.44,4,2716,895,208,23.65,6.63,9,1,0,0,1,0,19,9,0.41,27,27.41,513,520.85,83897,289,22203.1
0,6.34,26.11,136,0.75,64.59,17,1228007.36,1,294.38,3,2456,644,196,27.85,1.74,34,1,0,0,1,0,13,34,0.06,19.69,19.75,256,256.75,68223,214,19013.04
1,20.77,33.23,487,243.01,107.23,26,6680664.04,0.96,581.03,131,6611,2520,694,33.23,0,104,1,0,0,1,0,131,104,1.86,3.37,5.22,441,684.01,371148,687,62303.16
1,14.04,27.81,182,13.5,134.55,23,5667633.61,0.96,313.08,4,4933,1856,465,27.81,0,42,1,0,0,1,0,26,42,0.52,22.77,23.29,592,605.5,314869,372,42123.67
1,10.61,30.32,275,36.97,104.49,16,3324967.01,0.94,304.54,8,3953,1052,249,30.32,0,54,1,0,1,0,0,33,54,1.12,8.12,9.24,268,304.97,184720,265,31821.05
0,1.05,41.37,29,14.67,28.3,7,89318.46,1,111.49,1,495,283,54,75.18,33.81,9,1,0,0,1,0,10,9,1.47,3.4,4.87,34,48.67,4962,83,3155.64
1,18.58,34.03,427,221.32,102.63,25,5719542.15,0.96,543.04,119,5999,2222,612,34.03,0,78,1,0,0,1,0,119,78,1.86,3.23,5.09,384,605.32,317752,626,55730.82
0,1.42,5.21,33,5.33,32.01,4,136765.66,1,133.51,3,646,220,58,36.88,31.67,9,1,0,0,1,0,11,9,0.48,2.45,2.94,27,32.33,7598,98,4273.1
0,5.89,7.76,209,0,66.31,0,1172114.3,0,266.61,0,2196,988,318,7.76,0,44,0,0,0,0,0,0,44,0,0,0,0,0,65117,265,17677.47
1,1.71,8.06,34,3.5,52.84,8,270684.76,0.89,96.95,3,743,183,68,37.54,29.48,15,1,0,0,1,0,8,15,0.44,6.63,7.06,53,56.5,15038,119,5122.85
0,1.48,13.29,40,6.05,43.48,11,193127.18,1,102.15,7,670,232,43,46.74,33.45,6,1,0,0,1,0,7,6,0.86,22.86,23.72,160,166.05,10729,99,4441.67
